"","x"
"2361","RT @svdate: Ashli Babbitt would be alive right now if Donald Trump had not lied about the election having been stolen from him. 

So would…"
"2362","RT @harrylitman: via @NYTimes Clark is playing it cute with “official “ or lying here, simple as that. “Asked whether his conversations wit…"
"2363","RT @JaneMayerNYer: We were so much closer to a coup than we even knew: Trump and Justice Dept. Lawyer Said to Have Plotted to Oust Acting A…"
"2364","RT @Taniel: You thought it. You guessed it. You were right.

Jeffrey Clark, who the NYT now reports was the most stunning coup planner in T…"
"2365","RT @McFaul: Please Putin government officials &amp; their supporters spare me your empty lectures about ""sovereignty"" after Putin invaded Georg…"
"2366","@HowardSherr @stcoachmark @RepScottPerry He’s evil.  https://t.co/Z7RQyRZT8i"
"2367","RT @MSNBC: MyPillow CEO and ardent Trump supporter Mike Lindell said Monday his products have been dropped by major retailers like Bed Bath…"
"2368","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2369","RT @ccjones13: 2x impeached. 400,000 dead in 10 months on his watch. Incited a riot at the US Capitol challenging the results of an electio…"
"2370","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"2371","RT @ejeancarroll: Is this the foul chump who dreamed up the idea of giving my case to the DOJ?  Jeff Clark signed the motion the VERY day T…"
"2372","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2373","RT @HEBobiwine: Yes, for standing and defeating Gen. Museveni in an election, which he resoundingly rigged, I am still under house arrest 8…"
"2374","RT @Scaramucci: Trump is a full on transparent criminal. The Saturday Night Massacre in reverse. 

Trump and Justice Dept. Lawyer Said to H…"
"2375","RT @BillKristol: We should all be alarmed that Trump may walk away from all this, from his attempt as president to overturn the election, w…"
"2376","RT @GottaLaff: BREAKING  —PA congressman played key role in Trump’s plot to oust acting attorney general this month.  The involvement of Re…"
"2377","@BeschlossDC The election 4 years ago showed, conclusively, that almost half of us ARE gullible and stupid. And laz… https://t.co/VyJshYZY8K"
"2378","RT @arhocolline: @kall_essy @HEBobiwine It’s normal now<U+0001F633><U+0001F633><U+0001F633> even after elections, but if he won then what’s with all this ....
Meanwhile sal…"
"2379","RT @SenSchumer: Unconscionable a Trump Justice Department leader would conspire to subvert the people's will

The Justice Dept Inspector Ge…"
"2380","RT @TehranTimes79: Some 41 former #Iranian diplomats have issued a statement expressing their views concerning the election of #JoeBiden as…"
"2381","RT @clairecmc: I keep thinking we have seen the worst. I keep being wrong. 

Trump and Justice Dept. Lawyer Said to Have Plotted to Oust Ac…"
"2382","RT @EricHolder: There must be accountability/consequences for all those who participated in the effort to subvert our democracy. This is no…"
"2383","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"2384","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"2385","RT @moorehn: Absolutely wild story, great reporting by @ktbenner

 https://t.co/Q3T3sfXqAt"
"2386","@OneSquire @WKloack @vtbirkenstock I think it’s not who lives there as in how many reside there as opposed to maybe… https://t.co/oxJNWR1ZWm"
"2387","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"2388","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2389","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"2390","RT @AshaRangappa_: A key point in this piece: Trump was deterred by the possibility that there could be political consequences, and “recrim…"
"2391","@aproko_doctor That's what we said for 2015, 2019!
We forget everyday is a deciding point for us, not just election years."
"2392","Pennsylvania Lawmaker Played Key Role in Trump’s Plot to Oust Acting Attorney General https://t.co/rhfGVVY7gi"
"2393","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"2394","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"2395","@shaunking Imagine people from different ethnic backgrounds telling us to give someone who promised something day 1… https://t.co/7PvETgRvFL"
"2396","RT @coachcolwell1: @pwafork Conservatives have also been “pointing out” that Trump won the 2020 election by a landslide, forgive us if we d…"
"2397","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"2398","RT @NBCNews: Delta Air Lines has put 880 people on its no-fly list for not complying with its mask requirements and has banned others from…"
"2399","RT @nycsouthpaw: The New York Times last night revealed an election fraud conspiracy between former President Trump and one of the highest…"
"2400","Some 41 former #Iranian diplomats have issued a statement expressing their views concerning the election of… https://t.co/DhfAkhlpWJ"
"2401","RT @harrylitman: via @NYTimes Clark is playing it cute with “official “ or lying here, simple as that. “Asked whether his conversations wit…"
"2402","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"2403","RT @GottaLaff: BREAKING  —PA congressman played key role in Trump’s plot to oust acting attorney general this month.  The involvement of Re…"
"2404","RT @HonKushimo: God 1st....

 This is 2021: _The need for us to focus more on Local government election._ 

 Local governments and general…"
"2405","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2406","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"2407","RT @harrylitman: Can’t emphasize this enough. An absolute immediate firing offense. “Justice Department policy stipulates that the presiden…"
"2408","@J_Piot @RepScottPerry And then it got so much worse as the pesky facts began rearing their ugly heads. https://t.co/Z7RQyRZT8i"
"2409","RT @JaneMayerNYer: We were so much closer to a coup than we even knew: Trump and Justice Dept. Lawyer Said to Have Plotted to Oust Acting A…"
"2410","RT @mehdirhasan: Pennsylvania Lawmaker Played Key Role in Trump’s Plot to Oust Acting Attorney General - The New York Times https://t.co/KB…"
"2411","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"2412","RT @McFaul: All sorts of people, in the U.S. &amp; Russia, are speculating today about Navalny's popularity. Wouldn't it be nice to have some d…"
"2413","@malaysiakini Because of tht stupid sabah election got us all into this mess<U+0001F926><U+200D><U+2640><U+FE0F><U+0001F926><U+200D><U+2640><U+FE0F><U+0001F926><U+200D><U+2640><U+FE0F><U+0001F926><U+200D><U+2640><U+FE0F><U+0001F926><U+200D><U+2640><U+FE0F>"
"2414","RT @ChrisMcEleny: When @AngusMacNeilSNP and I 1st called for indyref without s30, we were attacked by the usual suspects. However, no guara…"
"2415","RT @nytimes: Breaking News: A Pennsylvania congressman played a key role in Donald Trump’s plot to oust the acting attorney general this mo…"
"2416","RT @DebraMessing: .@FBIWFO @FBIPhiladelphia @FBIPittsburgh INDICT THIS SEDITIONIST. 
Pennsylvania Lawmaker Played Key Role in Trump’s Plot…"
"2417","RT @JohnFetterman: LET THAT SINK IN: Trump’s *own* Attorney General blames mass lies about election fraud “precipitated” the Capitol Hill r…"
"2418","RT @McFaul: All sorts of people, in the U.S. &amp; Russia, are speculating today about Navalny's popularity. Wouldn't it be nice to have some d…"
"2419","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2420","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2421","RT @McFaul: All sorts of people, in the U.S. &amp; Russia, are speculating today about Navalny's popularity. Wouldn't it be nice to have some d…"
"2422","Amazon has more secure election than the US federal government. https://t.co/hnl0p4uBRH"
"2423","RT @marceelias: Despicable conduct by a member of Congress. The Ethics Committee must take action.
https://t.co/85fUw2Ms9s"
"2424","RT @HamillHimself: Promotes ""Stop the Steal"" for months on social-media Incites the crowd in a speech at the event
Tells GA Secretary of St…"
"2425","RT @EricHolder: There must be accountability/consequences for all those who participated in the effort to subvert our democracy. This is no…"
"2426","RT @DuncanAbigaba: The anger on Twitter my God. Even on a Sunday people will hurl insults like they're not Christians. The election ended.…"
"2427","Giuliani concedes that an associate did ask for $20,000 a day to help Trump post-election.
https://t.co/r2ueL7s8Uq via @CurrentStatus"
"2428","His election, thus, is a validation of the leadership and immense contribution to society not just of senior citize… https://t.co/GmsAIF8z1b"
"2429","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2430","His election, thus, is a validation of the leadership and immense contribution to society not just of senior citize… https://t.co/Sf94X4ubjQ"
"2431","RT @peaceandteachin: If he was innocent, he would welcome the investigation. 
He participated in overthrowing the US election, and the atta…"
"2432","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"2433","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2434","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"2435","RT @LisaMarra: No. Everybody does not have responsibility. Every election official across the country did their job tremendously well. None…"
"2436","RT @DuncanAbigaba: The anger on Twitter my God. Even on a Sunday people will hurl insults like they're not Christians. The election ended.…"
"2437","RT @McFaul: All sorts of people, in the U.S. &amp; Russia, are speculating today about Navalny's popularity. Wouldn't it be nice to have some d…"
"2438","RT @McFaul: All sorts of people, in the U.S. &amp; Russia, are speculating today about Navalny's popularity. Wouldn't it be nice to have some d…"
"2439","RT @DanRodricks: Your daily reminder: The 147 Republicans Who Voted to Overturn Election Results - with thanks to <U+2066>@nytimes<U+2069>  https://t.co/…"
"2440","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2441","RT @LisaMarra: No. Everybody does not have responsibility. Every election official across the country did their job tremendously well. None…"
"2442","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2443","@novovikj @Preobraghenskiy @McFaul The US has a $19.4 trillion economy versus Russia's puny 1.5 -- and getting puni… https://t.co/x2rOMSJXcb"
"2444","RT @BombshellDAILY: CRIMINAL SOLICITATION NOW CLEARLY PROVEN
Attempt to replace Attorney General was Trump’s response to those not willing…"
"2445","RT @ShawncyFromYork: REAL TALK: The Trump presidency got so bad that in the end the US Capitol was smoking, looted, &amp; overrun with MAGATs;…"
"2446","RT @BombshellDAILY: CRIMINAL SOLICITATION NOW CLEARLY PROVEN
Attempt to replace Attorney General was Trump’s response to those not willing…"
"2447","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2448","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"2449","RT @VMadge: Reality Leigh Winner should not spend another night in jail. She alerted us to the Russian election interference, was not given…"
"2450","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2451","@stillgray Ummm.
He's doing everything we knew he'd do...

When u win an election fraudulently, why in the fuck wou… https://t.co/4Ztz1fVPMW"
"2452","RT @OrinKerr: This is the least important part of the Clark story, but interesting that @nytimes mentions Clark's membership in @FedSoc w/o…"
"2453","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2454","RT @peterbakernyt: How a GOP congressman from Pennsylvania helped steer Trump to a Justice Department lawyer who shared his conspiratorial…"
"2455","RT @nycsouthpaw: Who exactly did this? https://t.co/JsHZ2jXE5i https://t.co/49I1qVdUku"
"2456","RT @nycsouthpaw: Who exactly did this? https://t.co/JsHZ2jXE5i https://t.co/49I1qVdUku"
"2457","RT @remittancegirl: I have a sneaking suspicion that the #GOP senators are going to deeply regret postponing the impeachment trial. 

Who k…"
"2458","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2459","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"2460","RT @nytimes: Breaking News: A Pennsylvania congressman played a key role in Donald Trump’s plot to oust the acting attorney general this mo…"
"2461","RT @DwightEvansPA: Disgraceful actions from Rep. Perry and he should be ashamed of himself. #resignPerry 

https://t.co/dnLwtopJFH"
"2462","RT @nycsouthpaw: The New York Times last night revealed an election fraud conspiracy between former President Trump and one of the highest…"
"2463","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2464","The anger on Twitter my God. Even on a Sunday people will hurl insults like they're not Christians. The election en… https://t.co/4TukYcg5Oc"
"2465","@Reuters is this foreign meddle US election"
"2466","RT @ZaleskiLuke: @JohnCornyn Setting the precedent that a president can’t foment an attack on the US government to stop the certification o…"
"2467","RT @PreetBharara: The torrent of new information about his misconduct in the final weeks is just beginning. It will not be possible to just…"
"2468","RT @briantopping66: The Unions that were so excited to vote for Biden were feeling the burn the 1st day of his illegitimate presidency. Giv…"
"2469","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"2470","RT @NBCNews: Delta Air Lines has put 880 people on its no-fly list for not complying with its mask requirements and has banned others from…"
"2471","Trump asked Justice Department to go to Supreme Court to overturn election: Journal https://t.co/MiXrFAzjU1"
"2472","#Trump asked #Justice #Department to go to #Supreme #Court to overturn #election: Journal @Vastuullisuus  https://t.co/FHD9zzgoWJ"
"2473","@Severomorec @Rogozin Democracy in the US did not die in this election. It survived but just barely. Democracy neve… https://t.co/5rBVPu6TIx"
"2474","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"2475","RT @ReportsDaNews: (@SenSchumer)
Unconscionable a Trump Justice Department leader would conspire to subvert the people's will

The Justice…"
"2476","RT @DemocracyInn: Link <U+0001F447>

https://t.co/tG9bBOBFCB"
"2477","RT @DwightEvansPA: Disgraceful actions from Rep. Perry and he should be ashamed of himself. #resignPerry 

https://t.co/dnLwtopJFH"
"2478","RT @rogertankm: My piece in The Sunday Star today, Jan 24: ‘An independent judiciary saves American democracy’ https://t.co/BJr7v2L23F How…"
"2479","RT @mehdirhasan: Pennsylvania Lawmaker Played Key Role in Trump’s Plot to Oust Acting Attorney General - The New York Times https://t.co/KB…"
"2480","Trump will forever be an 'evil psychopath' who resorts to illegal acts for his own benefit. With evidence showing t… https://t.co/NtgLrHKCOT"
"2481","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2482","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2483","RT @DrEricDing: BREAKING—NYT reports that right-wing PA congressman @RepScottPerry played a key role in Trump’s plot to oust the acting att…"
"2484","RT @HonKushimo: God 1st....

 This is 2021: _The need for us to focus more on Local government election._ 

 Local governments and general…"
"2485","RT @GottaLaff: BREAKING  —PA congressman played key role in Trump’s plot to oust acting attorney general this month.  The involvement of Re…"
"2486","RT @McFaul: All sorts of people, in the U.S. &amp; Russia, are speculating today about Navalny's popularity. Wouldn't it be nice to have some d…"
"2487","RT @HamillHimself: Promotes ""Stop the Steal"" for months on social-media Incites the crowd in a speech at the event
Tells GA Secretary of St…"
"2488","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2489","RT @marceelias: Despicable conduct by a member of Congress. The Ethics Committee must take action.
https://t.co/85fUw2Ms9s"
"2490","RT @DebraMessing: .@FBIWFO @FBIPhiladelphia @FBIPittsburgh INDICT THIS SEDITIONIST. 
Pennsylvania Lawmaker Played Key Role in Trump’s Plot…"
"2491","RT @marceelias: Despicable conduct by a member of Congress. The Ethics Committee must take action.
https://t.co/85fUw2Ms9s"
"2492","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"2493","RT @YonSolitary: Independent journalist @EvaKBartlett reports how the US which cries ""Election Interference by Russia"" used the US embassy…"
"2494","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2495","@JudyandHuahua @DrZoeHyde The recent Fed cooing noises probably due to 1. Election coming into focus 2. US presiden… https://t.co/NfOldIK9LY"
"2496","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2497","RT @Pier_Paolo_28: US Election Choropleth with Python by: Conor O'Sullivan on Towards Data Science. 
#DataScience #ArtificialIntelligence #…"
"2498","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"2499","RT @Pier_Paolo_28: US Election Choropleth with Python by: Conor O'Sullivan on Towards Data Science. 
#DataScience #ArtificialIntelligence #…"
"2500","RT @Pier_Paolo_28: US Election Choropleth with Python by: Conor O'Sullivan on Towards Data Science. 
#DataScience #ArtificialIntelligence #…"
"2501","RT @NBCNews: Delta Air Lines has put 880 people on its no-fly list for not complying with its mask requirements and has banned others from…"
"2502","RT @Annayarajpoot3: Seriously this is justice???! where is our <U+0001F937><U+0001F3FB><U+200D><U+2640><U+FE0F>Pm?our government? <U+0001F937><U+0001F3FB><U+200D><U+2640><U+FE0F>Oh i forget there is no elections right now whe…"
"2503","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"2504","RT @RussellFosterTX: Every single GOP that voted against certifying the election should show us the concrete evidence they have for trying…"
"2505","RT @samstein: We had heard that Scott Perry was the PA Republican who was involving in trying to oust the AG and help Trump overturn the el…"
"2506","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2507","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"2508","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2509","@bachelorfanpag1 @tedcruz @Sethrogen No, he tried to stand for most of us that think this election was a sham. If n… https://t.co/S8ncRI3Ovw"
"2510","Trump wanted the Justice Department to sue individual states to overturn their election results, but top officials… https://t.co/5EyNlkWWhp"
"2511","RT @McFaul: All sorts of people, in the U.S. &amp; Russia, are speculating today about Navalny's popularity. Wouldn't it be nice to have some d…"
"2512","RT @BombshellDAILY: CRIMINAL SOLICITATION NOW CLEARLY PROVEN
Attempt to replace Attorney General was Trump’s response to those not willing…"
"2513","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"2514","RT @marceelias: Despicable conduct by a member of Congress. The Ethics Committee must take action.
https://t.co/85fUw2Ms9s"
"2515","RT @McFaul: Please Putin government officials &amp; their supporters spare me your empty lectures about ""sovereignty"" after Putin invaded Georg…"
"2516","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2517","RT @harrylitman: Can’t emphasize this enough. An absolute immediate firing offense. “Justice Department policy stipulates that the presiden…"
"2518","RT @Shivkant001: Aspirants of Up chosen u because u was the best option before them in Election. But u have not fulfilled your promise sir.…"
"2519","RT @rickhasen: Pennsylvania Lawmaker Played Key Role in Trump’s Plot to Oust Acting Attorney General https://t.co/O3IAwF6KcO"
"2520","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2521","RT @HEBobiwine: Yes, for standing and defeating Gen. Museveni in an election, which he resoundingly rigged, I am still under house arrest 8…"
"2522","RT @nycsouthpaw: Who exactly did this? https://t.co/JsHZ2jXE5i https://t.co/49I1qVdUku"
"2523","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"2524","RT @Wrschgn: .@RepScottPerry, who is accepting a six-figure, taxpayer-funded salary obtained through a process he claims was fraudulent, pl…"
"2525","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"2526","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"2527","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"2528","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2529","@Cernovich @nedryun They could have read his policies prior to the election like the rest of us. They can all go fuck themselves.
#unity"
"2530","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2531","RT @McFaul: All sorts of people, in the U.S. &amp; Russia, are speculating today about Navalny's popularity. Wouldn't it be nice to have some d…"
"2532","RT @GottaLaff: BREAKING  —PA congressman played key role in Trump’s plot to oust acting attorney general this month.  The involvement of Re…"
"2533","RT @NBCNews: Delta Air Lines has put 880 people on its no-fly list for not complying with its mask requirements and has banned others from…"
"2534","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2535","RT @OrinKerr: This is the least important part of the Clark story, but interesting that @nytimes mentions Clark's membership in @FedSoc w/o…"
"2536","@Gerardo08756571 @Jamesdrohan @EricRWeinstein There’s about 209 million people 18 and over in the US, out of the en… https://t.co/QaDr6Na7rP"
"2537","RT @NBCNews: MyPillow CEO and ardent Trump supporter Mike Lindell said Monday his products have been dropped by major retailers like Bed Ba…"
"2538","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"2539","RT @husna_butt_PTI: Seriously this is justice???! where is our <U+0001F937><U+0001F3FB><U+200D><U+2640><U+FE0F>Pm?? <U+0001F937><U+0001F3FB><U+200D><U+2640><U+FE0F>Oh i forget there is no elections right now when the time of…"
"2540","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"2541","RT @NBCNews: MyPillow CEO and ardent Trump supporter Mike Lindell said Monday his products have been dropped by major retailers like Bed Ba…"
"2542","LMAO so the US presidential election wasn't...... Nvm https://t.co/ENih3i3mGu"
"2543","RT @SenSchumer: Unconscionable a Trump Justice Department leader would conspire to subvert the people's will

The Justice Dept Inspector Ge…"
"2544","@latikambourke no mention here about Howard sowing seeds of hate and fear post gst 2001, Tampa, 9-11and Children Ov… https://t.co/uCy94i7Hld"
"2545","RT @jaketapper: NYT IDs <U+2066>@RepScottPerry<U+2069> as the PA GOPer who introduced Trump to DOJ official Jeffrey Clark, “whose openness to conspiracy…"
"2546","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2547","RT @DrEricDing: BREAKING—NYT reports that right-wing PA congressman @RepScottPerry played a key role in Trump’s plot to oust the acting att…"
"2548","I have a sneaking suspicion that the #GOP senators are going to deeply regret postponing the impeachment trial. 

W… https://t.co/VGgt87VZdo"
"2549","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"2550","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"2551","RT @cioccolanti: Amazon demands that a group of Alabama warehouse trying to form a union be required to vote in PERSON, because mail-in vot…"
"2552","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2553","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2554","RT @DebraMessing: .@FBIWFO @FBIPhiladelphia @FBIPittsburgh INDICT THIS SEDITIONIST. 
Pennsylvania Lawmaker Played Key Role in Trump’s Plot…"
"2555","RT @nytimes: Breaking News: A Pennsylvania congressman played a key role in Donald Trump’s plot to oust the acting attorney general this mo…"
"2556","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2557","RT @DrEricDing: BREAKING—NYT reports that right-wing PA congressman @RepScottPerry played a key role in Trump’s plot to oust the acting att…"
"2558","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2559","RT @nytimes: Breaking News: A Pennsylvania congressman played a key role in Donald Trump’s plot to oust the acting attorney general this mo…"
"2560","@marcorubio Hey “Lil Marco” as the former president called you. 3 million more people voted for the “loser” of the… https://t.co/ToARovLDRS"
"2561","It's the sad truth, it will continue to cost us. Whether we win an election or not.<U+0001F622> https://t.co/vwooR7fmQ6"
"2562","RT @Atticus59914029: We must be clear eyed about what happened between 11/3 and 1/6:the losing candidate abused the powers of his office to…"
"2563","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"2564","RT @LarrySabato: SHADES OF NIXON'S SATURDAY NIGHT MASSACRE! I know you want to put Trump in the past--what sane person doesn't?--but READ T…"
"2565","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"2566","RT @c_s_wallace: 'Shorten’s campaign was leapfrogged by Morrison’s partly because nefarious US &amp; UK social media developments made Labor ca…"
"2567","RT @VMadge: Reality Leigh Winner should not spend another night in jail. She alerted us to the Russian election interference, was not given…"
"2568","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"2569","RT @Alan__020: All the ass licking fools in the UK applauding Bidens fraudulent election win,will soon realise that the old fool hates the…"
"2570","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"2571","RT @DebraMessing: .@FBIWFO @FBIPhiladelphia @FBIPittsburgh INDICT THIS SEDITIONIST. 
Pennsylvania Lawmaker Played Key Role in Trump’s Plot…"
"2572","RT @marceelias: Despicable conduct by a member of Congress. The Ethics Committee must take action.
https://t.co/85fUw2Ms9s"
"2573","RT @guano_col: @KarenEDeering @Beachbumjules @donwinslow We can't sleep - we are literally one election away from fascism.  We MUST gain mo…"
"2574","RT @guano_col: @KarenEDeering @Beachbumjules @donwinslow We can't sleep - we are literally one election away from fascism.  We MUST gain mo…"
"2575","@RebelOne08 @Kartoshka_kofe @McFaul ""Free and fair election""? <U+0001F602> In the US? <U+0001F923><U+0001F923><U+0001F923>"
"2576","RT @NorskLadyWolf: So why hasn’t Pennsylvania GOP Rep Scott Perry and Justice Department official Jeffrey Clark been arrested for sedition?…"
"2577","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"2578","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"2579","RT @OrinKerr: This is the least important part of the Clark story, but interesting that @nytimes mentions Clark's membership in @FedSoc w/o…"
"2580","RT @ktbenner: Don't know what to say. I guess there was, I dunno, an almost-coup at DOJ so that this man no one really knew outside of the…"
"2581","RT @CREWcrew: The Justice Department inspector general has begun examining the abrupt departure this month of the U.S. attorney in Atlanta…"
"2582","'for big lies to work they have to be repeated and repeated... Consider the headline in the New Yorker, “Trump and… https://t.co/2xy7kfYgEA"
"2583","RT @cangal21isback: So basically there are a whole whack of countries whose leaders are resigning after the election in the US. HMMM. I won…"
"2584","RT @Atticus59914029: We must be clear eyed about what happened between 11/3 and 1/6:the losing candidate abused the powers of his office to…"
"2585","RT @HonKushimo: God 1st....

 This is 2021: _The need for us to focus more on Local government election._ 

 Local governments and general…"
"2586","RT @McFaul: All sorts of people, in the U.S. &amp; Russia, are speculating today about Navalny's popularity. Wouldn't it be nice to have some d…"
"2587","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"2588","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"2589","RT @DebraMessing: .@FBIWFO @FBIPhiladelphia @FBIPittsburgh INDICT THIS SEDITIONIST. 
Pennsylvania Lawmaker Played Key Role in Trump’s Plot…"
